"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4oilkhgi""","Link","Campaign Efficiency","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Campaign Efficiency","","Lead","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4o7ojgln""","Link","Lead Owner Efficiency","2020-01-23 14:48:30.183272","Administrator","","",0,"Report","Lead Owner Efficiency","","Lead","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd450se5la""","Link","Maintenance Schedule","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Maintenance Schedule","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd44uh90sh""","Link","Maintenance Visit","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Maintenance Visit","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd45jseihr""","Link","Warranty Claim","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Warranty Claim","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4l1jccne""","Card Break","Masters","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4ugrcifa""","Link","Territory","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Territory","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4dno8sjc""","Link","Customer Group","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Customer Group","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4gl0p3k0""","Link","Contact","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Contact","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4nhnkl89""","Link","Prospect","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Prospect","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd46vholia""","Link","Sales Person","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Sales Person","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4m8pd1ap""","Link","Sales Stage","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","Sales Stage","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nd4kq1ic2c""","Link","Lead Source","2020-01-23 14:48:30.183272","Administrator","","",0,"DocType","UTM Source","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""ERPNext Settings""","ERPNext Settings","ERPNext Settings","Workspace","2022-01-27 13:14:47.349433","Administrator",19.0,"","","Setup","erpnext","","","","setting","","",0,1,0,"","","","","","","","","","","","","","""nfb28d8eef""","DocType","Print Settings","2022-01-27 13:14:47.349433","Administrator","Print Settings","","List","","","","","","Grey","","","""nfb4dauhms""","Link","Import Data","2022-01-27 13:14:47.349433","Administrator","","",0,"DocType","Data Import","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbt6ng2ne""","DocType","System Settings","2022-01-27 13:14:47.349433","Administrator","System Settings","","List","","","","","","Grey","","","""nfb19d23if""","Link","Export Data","2022-01-27 13:14:47.349433","Administrator","","",0,"DocType","Data Export","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbq6kuhua""","DocType","Accounts Settings","2022-01-27 13:14:47.349433","Administrator","Accounts Settings","","","","accounting","","","","","","","""nfb1m5quuh""","Link","Bulk Update","2022-01-27 13:14:47.349433","Administrator","","",0,"DocType","Bulk Update","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbk7ekidg""","DocType","Global Defaults","2022-01-27 13:14:47.349433","Administrator","Global Defaults","","List","","","","","","Grey","","","""nfb59bjh7i""","Link","Download Backups","2022-01-27 13:14:47.349433","Administrator","","",0,"Page","backups","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfb752dp82""","DocType","Stock Settings","2022-01-27 13:14:47.349433","Administrator","Stock Settings","","","","stock","","","","","","","""nfbkueggtt""","Link","Deleted Documents","2022-01-27 13:14:47.349433","Administrator","","",0,"DocType","Deleted Document","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbod38h2h""","DocType","Selling Settings","2022-01-27 13:14:47.349433","Administrator","Selling Settings","","","","sell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfblloept6""","DocType","Buying Settings","2022-01-27 13:14:47.349433","Administrator","Buying Settings","","","","buying","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Financial Reports""","Financial Reports","Financial Reports","Workspace","2024-01-05 16:09:16.766939","Administrator",5.0,"","Accounting","Accounts","erpnext","","","","table","","",0,1,0,"","","","","","","","""nck9v6jkak""","Profit and Loss","2024-01-05 16:09:16.766939","Administrator","Profit and Loss","","","","","","","","","","","","","","","","","","""nckecrogv2""","Card Break","Profitability","2024-01-05 16:09:16.766939","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckmdkjbvf""","Link","Gross Profit","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Gross Profit","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck3un3u2o""","Link","Profitability Analysis","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Profitability Analysis","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckc94ds46""","Link","Sales Invoice Trends","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Sales Invoice Trends","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck2vr6516""","Link","Purchase Invoice Trends","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Purchase Invoice Trends","","Purchase Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckess6f40""","Card Break","Financial Statements","2024-01-05 16:09:16.766939","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckp0sqlt1""","Link","Trial Balance","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Trial Balance","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck6ng69ed""","Link","Profit and Loss Statement","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Profit and Loss Statement","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckl1mdl0a""","Link","Balance Sheet","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Balance Sheet","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck2moh5fn""","Link","Cash Flow","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Cash Flow","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckr07sjfn""","Link","Consolidated Financial Statement","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Consolidated Financial Statement","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckplhq9kp""","Card Break","Ledgers","2024-01-05 16:09:16.766939","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckantanuk""","Link","General Ledger","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","General Ledger","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckc74od7o""","Link","Customer Ledger Summary","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Customer Ledger Summary","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncka6ta0tv""","Link","Supplier Ledger Summary","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Supplier Ledger Summary","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck13hkgkp""","Card Break","Other Reports","2024-01-05 16:09:16.766939","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncko8ah9lb""","Link","Trial Balance for Party","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Trial Balance for Party","","GL Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncknf5ln3e""","Link","Payment Period Based On Invoice Date","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Payment Period Based On Invoice Date","","Journal Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckgu14jvg""","Link","Sales Partners Commission","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Sales Partners Commission","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck359j6rq""","Link","Customer Credit Balance","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Customer Credit Balance","","Customer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck68552f6""","Link","Sales Payment Summary","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Sales Payment Summary","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckn4mof0r""","Link","Address And Contacts","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","Address And Contacts","","Address","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckmrcha6t""","Link","UAE VAT 201","2024-01-05 16:09:16.766939","Administrator","","",0,"Report","UAE VAT 201","","GL Entry","United Arab Emirates",0,1,"","","","","","","","","","","","","","","","","",""
"","""Home""","Home","Home","Workspace","2020-01-23 13:46:38.833076","Administrator",1.0,"","","Setup","erpnext","","","","home","","",0,1,0,"","","","","","","","","","","","","","""nfbb3mst2d""","DocType","Item","2020-01-23 13:46:38.833076","Administrator","Item","","","","","","","","","","","""nfb2ao5ske""","Card Break","Accounting","2020-01-23 13:46:38.833076","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbsa822l2""","DocType","Customer","2020-01-23 13:46:38.833076","Administrator","Customer","","","","","","","","","","","""nfb3l6kgvu""","Link","Chart of Accounts","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Account","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfburfma3u""","DocType","Supplier","2020-01-23 13:46:38.833076","Administrator","Supplier","","","","","","","","","","","""nfb5aq4ani""","Link","Company","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Company","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbhriv249""","DocType","Sales Invoice","2020-01-23 13:46:38.833076","Administrator","Sales Invoice","","","","","","","","","","","""nfbnejmbd5""","Link","Customer","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Customer","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbi53kii8""","Link","Supplier","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Supplier","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbjkf06rv""","Card Break","Stock","2020-01-23 13:46:38.833076","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbvpg6ahl""","Link","Item","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfb7m5r6b6""","Link","Warehouse","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Warehouse","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbk2hd1ov""","Link","Brand","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Brand","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbuh0td3k""","Link","Unit of Measure (UOM)","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","UOM","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbfj0kvl1""","Link","Stock Reconciliation","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Stock Reconciliation","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbhsh3a8l""","Card Break","CRM","2020-01-23 13:46:38.833076","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbmk9ousg""","Link","Lead","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Lead","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbtn3lgbr""","Link","Customer Group","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Customer Group","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfb2o9gud8""","Link","Territory","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Territory","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbg9trc7v""","Card Break","Data Import and Settings","2020-01-23 13:46:38.833076","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbabp6icb""","Link","Import Data","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Data Import","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfb0q9aa06""","Link","Opening Invoice Creation Tool","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Opening Invoice Creation Tool","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbie9kh1s""","Link","Chart of Accounts Importer","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Chart of Accounts Importer","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbcvl01no""","Link","Letter Head","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Letter Head","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nfbt9hbp9j""","Link","Email Account","2020-01-23 13:46:38.833076","Administrator","","",0,"DocType","Email Account","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","""Integrations""","Integrations","Integrations","Workspace","2020-03-02 15:16:18.714190","Administrator",20.0,"","","Integrations","frappe","","","","integration","","",0,1,0,"","","","","","","","","","","","","","""n7i3ugvv09""","DocType","Google Settings","2020-03-02 15:16:18.714190","Administrator","Google Settings","","List","","","","","","Grey","","","""n7ifceacb6""","Card Break","Google Services","2020-03-02 15:16:18.714190","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i8c2ajcn""","DocType","Webhook","2020-03-02 15:16:18.714190","Administrator","Webhook","","List","","","","","[]","Grey","","","""n7ik3khf30""","Link","Google Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Google Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i2iehr5v""","Link","Google Contacts","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Google Contacts","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7ih6il3pi""","Link","Google Calendar","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Google Calendar","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i2cnhsj3""","Card Break","Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i5i32a82""","Link","Webhook","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Webhook","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7iruduejs""","Link","Slack Webhook URL","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Slack Webhook URL","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i949hf40""","Link","SMS Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","SMS Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7iqrqoa52""","Card Break","Authentication","2020-03-02 15:16:18.714190","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7imo5tcsn""","Link","Social Login Key","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Social Login Key","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7ih2fgqbf""","Link","LDAP Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","LDAP Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7inh1jl73""","Link","OAuth Client","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","OAuth Client","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7iugm0fac""","Link","OAuth Provider Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","OAuth Provider Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i3879095""","Card Break","Push Notifications","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n7i0pb3a99""","Link","Push Notification Settings","2020-03-02 15:16:18.714190","Administrator","","",0,"DocType","Push Notification Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Invoicing""","Invoicing","Invoicing","Workspace","2020-03-02 15:41:59.515192","Administrator",2.0,"","","Accounts","erpnext","","","","accounting","","",0,1,0,"","""nck8bora6u""","Total Outgoing Bills","2020-03-02 15:41:59.515192","Administrator","Outgoing Bills","","""nckjoll8at""","Profit and Loss","2020-03-02 15:41:59.515192","Administrator","Profit and Loss","","","","","","","","","","","","","","","","","","""nckugjbg01""","Card Break","Multi Currency","2020-03-02 15:41:59.515192","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ncktk2lffm""","Total Incoming Bills","2020-03-02 15:41:59.515192","Administrator","Incoming Bills","","","","","","","","","","","","","","","","","","","","","","","","""nckheoocg3""","Link","Currency","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Currency","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""nck53r4ll3""","Total Incoming Payment","2020-03-02 15:41:59.515192","Administrator","Incoming Payment","","","","","","","","","","","","","","","","","","","","","","","","""nckrrk6b03""","Link","Currency Exchange","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Currency Exchange","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""nck9l588ea""","Total Outgoing Payment","2020-03-02 15:41:59.515192","Administrator","Outgoing Payment","","","","","","","","","","","","","","","","","","","","","","","","""nckcdfsq3i""","Link","Exchange Rate Revaluation","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Exchange Rate Revaluation","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckeqlb6op""","Card Break","Subscription Management","2020-03-02 15:41:59.515192","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck34ig1gp""","Link","Subscription Plan","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Subscription Plan","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckv4sh2ep""","Link","Subscription","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Subscription","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncksvm5rr1""","Link","Subscription Settings","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Subscription Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck1cljrl9""","Card Break","Share Management","2020-03-02 15:41:59.515192","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckn26g05b""","Link","Shareholder","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Shareholder","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckb1nu0gv""","Link","Share Transfer","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Share Transfer","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckj56ichp""","Link","Share Ledger","2020-03-02 15:41:59.515192","Administrator","","",0,"Report","Share Ledger","","Share Transfer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckhpsm1os""","Link","Share Balance","2020-03-02 15:41:59.515192","Administrator","","",0,"Report","Share Balance","","Share Transfer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckea7mcej""","Card Break","Cost Center and Budgeting","2020-03-02 15:41:59.515192","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckp1afh9e""","Link","Chart of Cost Centers","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Cost Center","","","",0,0,"","","","","","","","","","","","","","","","","",""
