Idea ID,Stage,Primary user(s),Sub-domain,Description,AI Mode,Actionability,KPIs,Risks,Integrations / data sources,Column1,AI Prompt
AGR-CEREAL-021,C,Scheduler,Crew & Machine Scheduling,"This backlog item targets Crew & Machine Scheduling in stage C, solving: Scheduling is reactive, causing idle time and overtime. It uses Optimization and runs in Propose-only mode, measuring success via Utilization; Overtime; On-time ops % and mitigating risks such as Labor constraints with integrations like HR schedules; equipment availability.",Optimization,Propose-only,Utilization; Overtime; On-time ops %,Labor constraints,HR schedules; equipment availability,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-021 (Stage C) for users: Scheduler. Feature: Crew & Machine Scheduling. AI mode: Optimization. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Utilization; Overtime; On-time ops %); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: HR schedules; equipment availability. Risks to mitigate: Labor constraints. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-022,C,Farm manager,Compaction Risk Advisor,"This backlog item targets Compaction Risk Advisor in stage C, solving: Field access ignores compaction and rut damage risk. It uses Prediction and runs in Propose-only mode, measuring success via Soil damage events; Delay days and mitigating risks such as Uncertainty must be visible with integrations like Soil moisture; rainfall; maps.",Prediction,Propose-only,Soil damage events; Delay days,Uncertainty must be visible,Soil moisture; rainfall; maps,C,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-022 (Stage C) for users: Farm manager. Feature: Compaction Risk Advisor. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Soil damage events; Delay days); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Soil moisture; rainfall; maps. Risks to mitigate: Uncertainty must be visible. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-023,C,Ops,Fuel/Parts Stock Forecast,"This backlog item targets Fuel/Parts Stock Forecast in stage C, solving: Fuel and parts availability cause mid-operation stoppages. It uses Forecasting and runs in Propose-only mode, measuring success via Downtime; Emergency purchases and mitigating risks such as Inventory accuracy with integrations like Inventory; telemetry; maintenance logs.",Forecasting,Propose-only,Downtime; Emergency purchases,Inventory accuracy,Inventory; telemetry; maintenance logs,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-023 (Stage C) for users: Ops. Feature: Fuel/Parts Stock Forecast. AI mode: Forecasting. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Downtime; Emergency purchases); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Inventory; telemetry; maintenance logs. Risks to mitigate: Inventory accuracy. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-024,C,Quality/traceability,Seed Lot Capture,"This backlog item targets Seed Lot Capture in stage C, solving: Lot identity at planting isn�t captured consistently, breaking provenance. It uses Workflow automation and runs in Execute-with-approval mode, measuring success via Traceability completeness; Recall time reduction and mitigating risks such as Data entry errors with integrations like Seed lot scans; field task records.",Workflow automation,Execute-with-approval,Traceability completeness; Recall time reduction,Data entry errors,Seed lot scans; field task records,C,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-024 (Stage C) for users: Quality/traceability. Feature: Seed Lot Capture. AI mode: Workflow automation. Actionability: Execute-with-approval. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Traceability completeness; Recall time reduction); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Seed lot scans; field task records. Risks to mitigate: Data entry errors. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-025,C,Agronomist,Stand Count via Vision,"This backlog item targets Stand Count via Vision in stage C, solving: Stand count checks are manual and late. It uses Vision and runs in Read-only mode, measuring success via Detection speed; Replant decision accuracy and mitigating risks such as Bias across stages with integrations like Drone/phone images; field IDs.",Vision,Read-only,Detection speed; Replant decision accuracy,Bias across stages,Drone/phone images; field IDs,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-025 (Stage C) for users: Agronomist. Feature: Stand Count via Vision. AI mode: Vision. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Detection speed; Replant decision accuracy); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Drone/phone images; field IDs. Risks to mitigate: Bias across stages. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-026,C,Ops,Deviation Impact Analytics,"This backlog item targets Deviation Impact Analytics in stage C, solving: Deviations from plan aren�t quantified into cost/yield impact. It uses Analytics copilot and runs in Read-only mode, measuring success via Variance visibility; Corrective actions taken and mitigating risks such as Attribution errors with integrations like Plan vs actual ops logs.",Analytics copilot,Read-only,Variance visibility; Corrective actions taken,Attribution errors,Plan vs actual ops logs,C,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-026 (Stage C) for users: Ops. Feature: Deviation Impact Analytics. AI mode: Analytics copilot. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Variance visibility; Corrective actions taken); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Plan vs actual ops logs. Risks to mitigate: Attribution errors. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-027,C,Safety officer,Safety Incident Risk,"This backlog item targets Safety Incident Risk in stage C, solving: Incidents aren�t predicted using near-miss signals. It uses Risk prediction and runs in Propose-only mode, measuring success via Incident rate; Near-miss closure time and mitigating risks such as Privacy; governance required with integrations like Incident logs; telemetry; weather.",Risk prediction,Propose-only,Incident rate; Near-miss closure time,Privacy; governance required,Incident logs; telemetry; weather,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-027 (Stage C) for users: Safety officer. Feature: Safety Incident Risk. AI mode: Risk prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Incident rate; Near-miss closure time); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Incident logs; telemetry; weather. Risks to mitigate: Privacy; governance required. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-028,D,Agronomist,Stress-to-Prescription,"This backlog item targets Stress-to-Prescription in stage D, solving: Remote sensing stress isn�t translated into actionable prescriptions. It uses Vision + Decision support and runs in Propose-only mode, measuring success via Response time; Yield loss avoided and mitigating risks such as False positives with integrations like Satellite; boundaries; scouting notes.",Vision + Decision support,Propose-only,Response time; Yield loss avoided,False positives,Satellite; boundaries; scouting notes,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-028 (Stage D) for users: Agronomist. Feature: Stress-to-Prescription. AI mode: Vision + Decision support. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Response time; Yield loss avoided); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Satellite; boundaries; scouting notes. Risks to mitigate: False positives. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-029,D,Scout,Disease Identification,"This backlog item targets Disease Identification in stage D, solving: Disease identification is inconsistent across scouts and regions. It uses Vision and runs in Propose-only mode, measuring success via Diagnosis accuracy; Fungicide ROI and mitigating risks such as Wrong treatment; approvals required with integrations like Mobile photos; disease library; weather.",Vision,Propose-only,Diagnosis accuracy; Fungicide ROI,Wrong treatment; approvals required,Mobile photos; disease library; weather,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-029 (Stage D) for users: Scout. Feature: Disease Identification. AI mode: Vision. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Diagnosis accuracy; Fungicide ROI); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Mobile photos; disease library; weather. Risks to mitigate: Wrong treatment; approvals required. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-030,D,Irrigation manager,Irrigation Optimizer,"This backlog item targets Irrigation Optimizer in stage D, solving: Schedules don�t account for forecast uncertainty and tariff changes. It uses Optimization and runs in Execute-with-approval mode, measuring success via Water savings; Stress days reduced and mitigating risks such as Crop failure risk; approvals required with integrations like IoT moisture; forecast; irrigation control.",Optimization,Execute-with-approval,Water savings; Stress days reduced,Crop failure risk; approvals required,IoT moisture; forecast; irrigation control,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-030 (Stage D) for users: Irrigation manager. Feature: Irrigation Optimizer. AI mode: Optimization. Actionability: Execute-with-approval. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Water savings; Stress days reduced); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: IoT moisture; forecast; irrigation control. Risks to mitigate: Crop failure risk; approvals required. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-031,D,Agronomist,Variable Rate Nitrogen,"This backlog item targets Variable Rate Nitrogen in stage D, solving: Variable-rate nitrogen decisions are hard to justify and audit. It uses Optimization + Explainability and runs in Propose-only mode, measuring success via Protein targets hit; N efficiency and mitigating risks such as Environmental compliance with integrations like Soil tests; imagery; application logs.",Optimization + Explainability,Propose-only,Protein targets hit; N efficiency,Environmental compliance,Soil tests; imagery; application logs,D,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-031 (Stage D) for users: Agronomist. Feature: Variable Rate Nitrogen. AI mode: Optimization + Explainability. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Protein targets hit; N efficiency); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Soil tests; imagery; application logs. Risks to mitigate: Environmental compliance. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-032,D,Farm manager,Pest Outbreak Predictor,"This backlog item targets Pest Outbreak Predictor in stage D, solving: Outbreaks are detected late after irreversible damage. It uses Prediction and runs in Propose-only mode, measuring success via Detection lead time; Yield loss avoided and mitigating risks such as Uncertainty UX needed with integrations like Weather; traps; scouting; imagery.",Prediction,Propose-only,Detection lead time; Yield loss avoided,Uncertainty UX needed,Weather; traps; scouting; imagery,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-032 (Stage D) for users: Farm manager. Feature: Pest Outbreak Predictor. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Detection lead time; Yield loss avoided); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Weather; traps; scouting; imagery. Risks to mitigate: Uncertainty UX needed. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-033,D,Co-op extension,Localized Recommendations,"This backlog item targets Localized Recommendations in stage D, solving: Recommendations aren�t localized by microclimate and variety traits. It uses RAG-docs + Prediction and runs in Propose-only mode, measuring success via Adoption rate; Performance uplift and mitigating risks such as Advice liability with integrations like Local bulletins; crop models; farm data.",RAG-docs + Prediction,Propose-only,Adoption rate; Performance uplift,Advice liability,Local bulletins; crop models; farm data,D,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-033 (Stage D) for users: Co-op extension. Feature: Localized Recommendations. AI mode: RAG-docs + Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Adoption rate; Performance uplift); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Local bulletins; crop models; farm data. Risks to mitigate: Advice liability. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-034,D,Farm ops,Spray Timing Advisor,"This backlog item targets Spray Timing Advisor in stage D, solving: Spray timing is suboptimal, causing drift and efficacy loss. It uses Prediction + Rules and runs in Propose-only mode, measuring success via Efficacy; Drift incidents; Re-spray rate and mitigating risks such as Safety/regulatory with integrations like Forecast; spray logs; labels/SDS.",Prediction + Rules,Propose-only,Efficacy; Drift incidents; Re-spray rate,Safety/regulatory,Forecast; spray logs; labels/SDS,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-034 (Stage D) for users: Farm ops. Feature: Spray Timing Advisor. AI mode: Prediction + Rules. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Efficacy; Drift incidents; Re-spray rate); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Forecast; spray logs; labels/SDS. Risks to mitigate: Safety/regulatory. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-035,D,Agronomist,Calibrated Yield Forecast,"This backlog item targets Calibrated Yield Forecast in stage D, solving: Yield forecasts aren�t calibrated and ignore field events. It uses Probabilistic forecasting and runs in Read-only mode, measuring success via Forecast error; Usefulness score and mitigating risks such as Overconfidence risk with integrations like Imagery; weather; ops events.",Probabilistic forecasting,Read-only,Forecast error; Usefulness score,Overconfidence risk,Imagery; weather; ops events,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-035 (Stage D) for users: Agronomist. Feature: Calibrated Yield Forecast. AI mode: Probabilistic forecasting. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Forecast error; Usefulness score); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Imagery; weather; ops events. Risks to mitigate: Overconfidence risk. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-036,D,Insurance/claims,Loss Assessment Assist,"This backlog item targets Loss Assessment Assist in stage D, solving: Loss assessment is slow and contentious. It uses Vision + Anomaly and runs in Propose-only mode, measuring success via Claim cycle time; Dispute rate and mitigating risks such as Fairness and transparency with integrations like Imagery; weather; field logs.",Vision + Anomaly,Propose-only,Claim cycle time; Dispute rate,Fairness and transparency,Imagery; weather; field logs,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-036 (Stage D) for users: Insurance/claims. Feature: Loss Assessment Assist. AI mode: Vision + Anomaly. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Claim cycle time; Dispute rate); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Imagery; weather; field logs. Risks to mitigate: Fairness and transparency. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-037,D,Sustainability,Soil Health Tracking,"This backlog item targets Soil Health Tracking in stage D, solving: Tracking soil health progress is manual and inconsistent. It uses Analytics + Estimation and runs in Read-only mode, measuring success via Reporting cycle time; Data completeness and mitigating risks such as Estimation accuracy; audit with integrations like Soil tests; rotations; cover crop logs.",Analytics + Estimation,Read-only,Reporting cycle time; Data completeness,Estimation accuracy; audit,Soil tests; rotations; cover crop logs,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-037 (Stage D) for users: Sustainability. Feature: Soil Health Tracking. AI mode: Analytics + Estimation. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Reporting cycle time; Data completeness); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Soil tests; rotations; cover crop logs. Risks to mitigate: Estimation accuracy; audit. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-038,D,Farm manager,Alert Ranking,"This backlog item targets Alert Ranking in stage D, solving: Alerts are noisy and users ignore them. It uses Alert ranking and runs in Read-only mode, measuring success via Alert action rate; False alert rate and mitigating risks such as Missed critical alerts with integrations like All monitoring sources.",Alert ranking,Read-only,Alert action rate; False alert rate,Missed critical alerts,All monitoring sources,D,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-038 (Stage D) for users: Farm manager. Feature: Alert Ranking. AI mode: Alert ranking. Actionability: Read-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Alert action rate; False alert rate); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: All monitoring sources. Risks to mitigate: Missed critical alerts. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-039,D,Admin/IT,Data Quality Guardrails,"This backlog item targets Data Quality Guardrails in stage D, solving: Data quality issues corrupt models and decisions. It uses Anomaly + Data validation and runs in Execute-with-approval mode, measuring success via Data error rate; Model stability and mitigating risks such as False flags; workflow needed with integrations like ERP; GIS; sensors; ETL.",Anomaly + Data validation,Execute-with-approval,Data error rate; Model stability,False flags; workflow needed,ERP; GIS; sensors; ETL,D,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-039 (Stage D) for users: Admin/IT. Feature: Data Quality Guardrails. AI mode: Anomaly + Data validation. Actionability: Execute-with-approval. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Data error rate; Model stability); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: ERP; GIS; sensors; ETL. Risks to mitigate: False flags; workflow needed. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-040,E,Harvest manager,Harvest Window Predictor,"This backlog item targets Harvest Window Predictor in stage E, solving: Harvest timing ignores moisture tradeoffs and weather loss risk. It uses Prediction and runs in Propose-only mode, measuring success via Losses avoided; Drying cost reduction and mitigating risks such as Weather uncertainty with integrations like Maturity models; forecast; moisture samples.",Prediction,Propose-only,Losses avoided; Drying cost reduction,Weather uncertainty,Maturity models; forecast; moisture samples,#N/A,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-040 (Stage E) for users: Harvest manager. Feature: Harvest Window Predictor. AI mode: Prediction. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Losses avoided; Drying cost reduction); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Maturity models; forecast; moisture samples. Risks to mitigate: Weather uncertainty. Keep scope tight; do not add extra pages/features beyond the backlog item.
AGR-CEREAL-041,E,Combine operator,Combine Settings Optimizer,"This backlog item targets Combine Settings Optimizer in stage E, solving: Settings aren�t optimized, increasing grain loss. It uses Optimization and runs in Propose-only mode, measuring success via Loss %; Throughput; Fuel/ton and mitigating risks such as Sensor reliability with integrations like Combine telemetry; yield monitor.",Optimization,Propose-only,Loss %; Throughput; Fuel/ton,Sensor reliability,Combine telemetry; yield monitor,E,You are GitHub Copilot (GPT-5.2) acting as a coding agent in the 'yam_agri_core' repo (Frappe/ERPNext v16). Follow platform rules: Site isolation by default; high-risk actions require QA Manager approval; AI is assistive only (no unsupervised accept/reject/recall/customer comms); never commit secrets. Implement backlog item AGR-CEREAL-041 (Stage E) for users: Combine operator. Feature: Combine Settings Optimizer. AI mode: Optimization. Actionability: Propose-only. Deliver an MVP that includes: (1) Frappe DocTypes/fields/workflows/permissions needed (Site-linked + permission rules); (2) server-side controllers/validations/background jobs as appropriate; (3) sample data (fixtures/seed data) for a quick demo; (4) at least one Report (query/script report) and one Dashboard/Chart aligned to KPIs (Loss %; Throughput; Fuel/ton); (5) minimal tests or smoke checks; (6) short docs/runbook updates. Integrations to stub or mock: Combine telemetry; yield monitor. Risks to mitigate: Sensor reliability. Keep scope tight; do not add extra pages/features beyond the backlog item.
